Run,Model,RMSE,Train_time,Test_time
3,Bidirect_LSTM,221.3332539,35.74745131,0.708750725
4,Bidirect_LSTM,233.1279555,13.64582109,0.341975689
5,Bidirect_LSTM,135.5327015,28.90048051,0.592888355
6,Bidirect_LSTM,255.1192214,31.56004882,0.470246792
7,Bidirect_LSTM,149.1989783,22.03755236,0.445680141
8,Bidirect_LSTM,114.5075188,28.31838799,0.471565247
9,Bidirect_LSTM,108.0188871,21.52766609,0.440384865
10,Bidirect_LSTM,178.9953422,18.30584359,0.492301941
11,Bidirect_LSTM,158.8003489,19.34749341,0.459540367
12,Bidirect_LSTM,177.003693,12.83781028,0.456539154
3,CNN_LSTM,305.9144968,6.498467922,0.229067087
4,CNN_LSTM,382.1505338,9.133490086,0.168504
5,CNN_LSTM,336.221189,6.275195837,0.223534107
6,CNN_LSTM,362.0123666,6.210662365,0.592015505
7,CNN_LSTM,257.3207606,5.419219732,0.236723661
8,CNN_LSTM,292.5980342,6.17038393,0.220366716
9,CNN_LSTM,315.7057073,4.820325136,0.232270241
10,CNN_LSTM,370.2580361,5.757140875,0.263535738
11,CNN_LSTM,331.7954077,6.937864304,0.219878674
12,CNN_LSTM,416.8750954,6.110903263,0.3000319
3,Encode_De_LSTM,246.4995062,49.83549738,0.466984272
4,Encode_De_LSTM,291.0353416,43.94192672,0.313097477
5,Encode_De_LSTM,232.1325376,57.53982401,0.45524168
6,Encode_De_LSTM,269.9205898,39.59436393,0.470539331
7,Encode_De_LSTM,168.5761917,36.30647206,0.440427065
8,Encode_De_LSTM,318.5299131,52.72861242,0.468802691
9,Encode_De_LSTM,298.4374749,34.30619955,0.4421978
10,Encode_De_LSTM,204.9794838,54.72972918,0.472495794
11,Encode_De_LSTM,181.0629489,68.5679369,0.443439484
12,Encode_De_LSTM,106.9967197,71.4893918,0.305479765
3,RNN,481.1170907,9.182493448,0.188760757
4,RNN,456.8131256,11.28990459,0.198683977
5,RNN,378.3093668,5.93607378,0.123651505
6,RNN,303.362562,8.654547453,0.188937902
7,RNN,400.552549,7.175515652,0.178688526
8,RNN,469.6320092,6.498057127,0.173683882
9,RNN,478.5500617,5.620963335,0.177691221
10,RNN,411.0727368,6.330497026,0.173019648
11,RNN,551.4775822,5.442627907,0.189120293
12,RNN,383.4135928,6.012551785,0.185250759
3,Stacked_LSTM,155.3090506,28.08699298,0.34882617
4,Stacked_LSTM,120.3244194,26.47812295,0.219056368
5,Stacked_LSTM,188.8829612,23.12998223,0.334594727
6,Stacked_LSTM,163.2453159,20.21053863,0.3298316
7,Stacked_LSTM,122.8192559,40.91047049,0.344828844
8,Stacked_LSTM,117.6819602,24.90731764,0.316041946
9,Stacked_LSTM,196.4256262,19.88834548,0.330764771
10,Stacked_LSTM,114.2914869,29.56984425,0.332186699
11,Stacked_LSTM,156.7124377,31.59843421,0.331780195
12,Stacked_LSTM,171.5477604,22.75359774,0.329130411
3,Vanilla_LSTM,173.2437854,12.75486016,0.216953516
4,Vanilla_LSTM,97.06092871,12.2347784,0.146468639
5,Vanilla_LSTM,110.3334703,20.89164233,0.209926605
6,Vanilla_LSTM,182.9082908,9.870735884,0.204893351
7,Vanilla_LSTM,193.9703611,9.826071739,0.206535339
8,Vanilla_LSTM,129.4195405,12.68610978,0.250252485
9,Vanilla_LSTM,115.6701934,10.69366574,0.23590517
10,Vanilla_LSTM,173.2150073,9.559200764,0.220267296
11,Vanilla_LSTM,150.3136248,9.875478506,0.205115318
12,Vanilla_LSTM,134.5192201,7.063367605,0.20374012
